2026-05-15,,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼
QDII,159518,2023-11-01,嘉实标普石油天然气勘探及生产精选行业ETF（QDII）(159518),-11.09%,-34.67%,26.52%,12.48%
QDII,513350,2023-11-20,富国标普石油天然气勘探及生产精选行业ETF（QDII）(513350),-11.09%,-34.85%,26.72%,12.47%
QDII,159750,2022-01-26,招商中证香港科技ETF（QDII）(159750),-24.85%,-45.15%,27.01%,33.06%
QDII,513880,2019-06-12,华安日经225ETF(513880),-3.44%,-29.83%,27.32%,3.56%
QDII,513520,2019-06-12,华夏野村日经225ETF(513520),-3.84%,-30.14%,27.35%,3.99%
QDII,501225,2023-03-30,景顺长城全球半导体芯片股票（QDII-LOF）(501225),-0.34%,-27.62%,27.38%,0.34%
QDII,017730,2023-02-09,嘉实全球产业升级股票发起式（QDII）(017730),-0.54%,-27.98%,27.58%,0.54%
QDII,519696,2008-08-22,交银环球精选混合(QDII)(519696),0.00%,-28.19%,28.19%,0.00%
QDII,513000,2019-06-12,易方达奥明日经225ETF（QDII）(513000),-3.70%,-31.19%,28.55%,3.85%
QDII,000043,2013-06-14,嘉实美国成长股票（QDII）(000043),0.00%,-28.64%,28.64%,0.00%
QDII,539001,2010-09-14,建信纳斯达克100指数（QDII） (539001),0.00%,-28.65%,28.65%,0.00%
QDII,486002,2010-05-25,工银全球精选股票(QDII)(486002),0.00%,-28.69%,28.69%,0.00%
QDII,161130,2017-06-23,易方达纳斯达克100ETF联接（QDII-LOF）(161130),0.00%,-28.91%,28.91%,0.00%
QDII,162415,2016-03-18,美国消费(162415),-6.91%,-33.90%,29.00%,7.42%
QDII,160213,2010-04-29,国泰纳斯达克100指数(QDII)(160213),0.00%,-29.06%,29.06%,0.00%
QDII,000614,2014-08-12,华安国际龙头（DAX）ETF联接(000614),-6.91%,-34.03%,29.14%,7.42%
QDII,150170,2014-03-06,恒生B,-33.03%,-52.56%,29.17%,49.31%
QDII,501312,2023-04-11,华宝海外科技股票（QDII-LOF）(501312),-0.97%,-30.08%,29.40%,0.98%
QDII,270042,2012-08-15,广发纳指100ETF联接（QDII）(270042),0.00%,-29.47%,29.47%,0.00%
QDII,016664,2023-04-26,天弘全球高端制造混合（QDII）(016664),-1.22%,-30.39%,29.53%,1.24%
QDII,004877,2017-08-16,汇添富全球医疗混合(QDII)(004877),-16.13%,-41.01%,29.67%,19.23%
QDII,017436,2023-03-02,华宝纳斯达克精选股票发起式（QDII）(017436),0.00%,-29.87%,29.87%,0.00%
QDII,161128,2016-12-13,易方达标普信息科技指数(QDII-LOF)(161128),0.00%,-30.03%,30.03%,0.00%
QDII,513100,2013-04-25,国泰纳斯达克100（QDII-ETF）(513100),0.00%,-30.03%,30.03%,0.00%
QDII,000834,2014-11-13,大成纳斯达克100ETF联接（QDII）(000834),0.00%,-30.11%,30.11%,0.00%
QDII,004998,2017-12-11,长信全球债券(QDII)(004998),-3.33%,-32.54%,30.21%,3.45%
QDII,159941,2015-06-10,广发纳指100ETF(159941),0.00%,-30.43%,30.43%,0.00%
QDII,050025,2012-06-14,博时标普500ETF联接(050025),0.00%,-30.50%,30.50%,0.00%
QDII,000179,2013-08-09,广发美国房地产指数（QDII）(000179),-0.73%,-31.02%,30.52%,0.73%
QDII,070031,2012-07-24,嘉实全球房地产(QDII)(070031),-5.16%,-34.15%,30.57%,5.44%
QDII,513120,2022-07-01,广发中证香港创新药（QDII-ETF）(513120),-26.70%,-49.11%,30.58%,36.42%
QDII,513300,2020-10-22,华夏纳斯达克100ETF（QDII）(513300),0.00%,-30.60%,30.60%,0.00%
QDII,161229,2015-12-21,国投瑞银中国价值发现股票(QDII-LOF)(161229),-13.09%,-39.76%,30.69%,15.06%
QDII,159502,2023-12-26,嘉实标普生物科技精选行业ETF（QDII）(159502),-3.02%,-32.92%,30.83%,3.12%
QDII,007721,2019-09-24,天弘标普500发起（QDII-FOF）(007721),0.00%,-31.07%,31.07%,0.00%
QDII,014424,2021-12-28,博时恒生医疗保健ETF发起式联接（QDII）(014424),-26.88%,-49.60%,31.08%,36.76%
