2023-06-16,,,,style,position,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,pe,pe10pos,pe to lowest,pb,pb10pos,pb to lowest,roe,roe/pe,div,funds
A股,399994,2015-03-11,信息安全,成长,,-26.07%,-62.95%,49.89%,35.26%,8.8e+01,78.94%,60.28%,4.2,49.03%,34.82%,4.77%,0.054,0.51%,"中信保诚中证信息安全指数（LOF）C(013083), 中信保诚中证信息安全指数（LOF）A(165523), 嘉实中证信息安全主题ETF(159613)"
A股,399303,2014-03-27,国证2000,宽基,,-11.13%,-55.66%,50.11%,12.52%,4.6e+01,53.21%,49.46%,2.4,38.33%,27.20%,5.22%,0.11,1.03%,"申万菱信国证2000指数增强型发起式A(015921), 万家国证2000ETF发起式联接A(016788), 天弘国证2000指数增强A(017547), 鹏华国证2000指数增强A(017892), 万家国证2000ETF(159628)"
A股,399970,2014-05-04,移动互联,成长,,-18.33%,-59.28%,50.14%,22.44%,4.9e+01,71.33%,56.74%,3.9,29.12%,30.86%,7.96%,0.16,0.79%,"富国中证移动互联网指数C(014173), 鹏华中证移动互联网指数(LOF)A(160636), 富国中证移动互联网指数A(161025)"
A股,399995,2015-03-11,基建工程,价值,,-11.70%,-56.24%,50.44%,13.25%,8.3,37.27%,24.67%,0.93,33.42%,18.94%,11.20%,1.3,2.43%,"广发中证基建工程ETF联接A(005223), 广发中证基建工程ETF联接C(005224), 信诚中证基建工程指数（LOF）C(013082), 广发中证基建工程ETF(516970), 信诚中证基建工程指数（LOF）A(165525)"
A股,931456,2020-04-20,中国教育,成长,,-67.79%,-84.39%,51.54%,210.46%,9.4e+01,4.38%,16.95%,3.3,59.93%,52.19%,3.51%,0.037,0.76%,博时全球中国教育(QDII-ETF)(513360)
A股,930851,2016-07-19,云计算,成长,,-16.01%,-59.60%,51.90%,19.06%,1.1e+02,86.17%,66.75%,6.0,96.46%,54.56%,5.45%,0.049,0.25%,"东财云计算指数增强A(012321), 东财云计算指数增强C(012322), 融通中证云计算与大数据主题指数（LOF）C(014130), 易方达中证云计算与大数据主题ETF联接发起式A(017853), 融通中证云计算与大数据主题指数（LOF）A(161628), 易方达中证云计算与大数据主题ETF(516510), 华夏中证云计算与大数据主题ETF(516630), 大数据ETF(159739), 招商中证云计算ETF(159890)"
A股,399807,2015-01-19,高铁产业,价值,,-7.02%,-56.34%,53.04%,7.55%,1.3e+01,46.04%,28.50%,1.1,34.10%,23.60%,8.46%,0.64,2.12%,"南方中证高铁产业指数（LOF）(160135), 鹏华中证高铁产业指数(LOF)A(160639)"
A股,000852,2014-10-16,中证1000,宽基,,-17.22%,-61.61%,53.62%,20.80%,3.7e+01,39.38%,48.90%,2.4,24.88%,27.32%,6.49%,0.18,1.11%,"创金合信中证1000增强A(003646), 创金合信中证1000增强C(003647), 招商中证1000指数增强A(004194), 招商中证1000指数增强C(004195), 万家中证1000指数增强A(005313), 万家中证1000指数增强C(005314), 建信中证1000指数增强A(006165), 建信中证1000指数增强C(006166), 广发中证1000ETF联接A(006486), 广发中证1000ETF联接C(006487), 南方中证1000ETF发起联接A(011860), 南方中证1000ETF发起联接C(011861), 富国中证1000指数增强（LOF）C(013331), 建信中证1000指数增强发起E(013442), 华夏中证1000ETF发起式联接A(013922), 华夏中证1000ETF发起式联接C(013923), 华夏中证1000指数增强A(014125), 华夏中证1000指数增强C(014126), 天弘中证1000指数增强A(014201), 天弘中证1000指数增强C(014202), 兴银中证1000指数增强A(014831), 兴银中证1000指数增强C(014832), 华安中证1000指数增强A(015148), 太平中证1000指数增强A(015466), 景顺长城中证1000指数增强A(015495), 中信建投中证1000指数增强A(015784), 国泰君安中证1000指数增强A(015867), 易方达中证1000ETF联接A(016630), 富国中证1000ETF联接A(016633), 嘉实中证1000指数增强发起式A(016776), 鹏华中证1000指数增强A(016785), 工银中证1000指数增强(016942), 国联安中证1000指数增强A(016962), 申万菱信中证1000指数增强A(017067), 鑫元中证1000指数增强发起式A(017190), 中金中证1000指数增强发起A(017733), 国金中证1000指数增强(017846), 中欧中证1000指数增强A(017919), 华宝中证1000指数(162413), 南方中证1000ETF(512100), 中证1000(516300), 广发中证1000ETF(560010), 汇添富中证1000ETF(560110), 1000增强(561590), 富国中证1000ETF(159629), 易方达中证1000ETF(159633), 1000增强ETF(159677), 国泰中证1000增强策略ETF(159679), 招商中证1000增强策略ETF(159680), 1000增强ETF天弘(159685), 华夏中证1000ETF(159845), 富国中证1000指数增强（LOF）A(161039)"
A股,930651,2015-06-04,CS计算机,成长,,-23.03%,-65.10%,54.66%,29.92%,7e+01,75.74%,51.78%,5.1,66.27%,42.91%,7.29%,0.1,0.57%,"天弘中证计算机主题ETF联接A(001629), 天弘中证计算机主题ETF联接C(001630), 国泰中证计算机主题ETF联接C(010210), 国泰中证计算机主题ETF联接A(160224), 国泰中证计算机主题ETF(512720), 计算机ETF(159998)"
A股,399967,2013-12-25,中证军工,成长,,-27.23%,-67.12%,54.82%,37.42%,5.9e+01,27.20%,24.30%,3.0,32.32%,31.89%,5.08%,0.086,0.48%,"前海开源中证军工指数A(000596), 前海开源中证军工指数C(002199), 广发中证军工ETF联接A(003017), 广发中证军工ETF联接C(005693), 易方达中证军工指数（LOF）C(012842), 富国中证军工指数C(013035), 易方达中证军工指数（LOF）A(502003), 易方达中证军工ETF(512560), 国泰中证军工ETF(512660), 广发中证军工ETF(512680), 华宝中证军工ETF(512810), 富国中证军工指数A(161024), 申万菱信中证军工指数A(163115)"
A股,930781,2016-02-03,中证影视,成长,,-26.04%,-66.91%,55.26%,35.21%,-1.2e+03,55.84%,101.37%,2.5,36.05%,31.86%,-0.21%,,0.52%,"国泰中证影视主题ETF(516620), 影视ETF(159855)"
A股,930794,2016-04-21,中美互联网,成长,,0.00%,-55.83%,55.83%,0.00%,3.6e+01,58.02%,33.11%,5.3,16.46%,32.54%,14.72%,0.41,0.13%,"天弘中证中美互联网A(009225), 天弘中证中美互联网C(009226)"
A股,930901,2016-10-17,动漫游戏,成长,,-10.75%,-63.43%,59.03%,12.04%,1.1e+03,81.50%,98.48%,4.4,81.01%,60.68%,0.40%,0.00035,0.79%,"国泰中证动漫游戏ETF联接A(012728), 国泰中证动漫游戏ETF联接C(012729), 华夏中证动漫游戏ETF发起式联接A(012768), 华夏中证动漫游戏ETF发起式联接C(012769), 国泰中证动漫游戏ETF(516010), 游戏动漫ETF(516770), 华夏中证动漫游戏ETF(159869)"
A股,399804,2015-02-08,中证体育,成长,,-15.68%,-69.69%,64.05%,18.60%,8.3e+01,96.25%,78.53%,4.0,68.30%,47.91%,4.82%,0.058,1.09%,"富国中证体育产业指数C(013278), 富国中证体育产业指数A(161030)"
A股,399971,2014-04-14,中证传媒,成长,,-11.66%,-69.05%,64.96%,13.20%,7.2e+01,92.39%,73.33%,2.9,43.91%,47.79%,4.03%,0.056,1.38%,"广发中证传媒ETF联接A(004752), 广发中证传媒ETF联接C(004753), 工银传媒指数C(010677), 工银传媒指数A(164818), 广发中证传媒ETF(512980), 传媒ETF(159805), 鹏华中证传媒指数(LOF)A(160629)"
