000860,结构调整,价值,"银华中证央企结构调整ETF联接(006119), 华夏中证央企ETF联接A(006196), 华夏中证央企ETF联接C(006197), 博时央调ETF联接A(006438), 博时央调ETF联接C(006439), 华夏中证央企ETF(512950), 博时央企结构调整ETF(512960), 央企ETF(159959)"
399285,物联网50,成长,物联网ETF工银(159709)
950096,上海国企,价值,"上海国企ETF联接(003194), 中证上海国企ETF(510810)"
931375,300质量低波,价值,"鹏扬沪深300质量低波A(011132), 鹏扬沪深300质量低波C(011133)"
931159,创新100,成长,"诺德研发创新100(007737), 申万菱信中证研发创新100交易型开放式指数联接A(007983), 申万菱信中证研发创新100交易型开放式指数联接C(007984), 申万菱信中证研发创新100交易型开放式指数(515200), 创新ETF(159987)"
000016,上证50,宽基,"华夏上证50ETF联接A(001051), 博时上证50ETF联接A(001237), 天弘上证50A(001548), 天弘上证50C(001549), 易方达上证50增强C(004746), 华夏上证50ETF联接C(005733), 博时上证50ETF联接C(005737), 建信上证50ETF联接A(005880), 建信上证50ETF联接C(005881), 工银上证50ETF联接A(006220), 工银上证50ETF联接C(006221), 易方达上证50ETF联接发起式A(007379), 易方达上证50ETF联接发起式C(007380), 南方上证50指数增强发起A(008056), 南方上证50指数增强发起C(008057), 东财上证50A(008240), 东财上证50C(008241), 汇添富上证50基本面增强指数A(012157), 汇添富上证50基本面增强指数C(012158), 易方达上证50指数（LOF）C(012875), 建信上证50ETF发起联接E(013444), 华安上证50ETF联接A(040190), 易方达上证50增强A(110003), 中海上证50指数增强(399001), 国金上证50指数增强(LOF)(502020), 长盛上证50指数（LOF）(502040), 易方达上证50指数（LOF）A(502048), 华夏上证50ETF(510050), 易方达上证50ETF(510100), 申万菱信上证50交易型开放式指数发起式(510600), 万家上证50ETF(510680), 博时上证50ETF(510710), 建信上证50ETF(510800), 工银上证50ETF(510850)"
399417,新能源车,成长,"国泰国证新能源汽车指数（LOF）C(014997), 国泰国证新能源汽车指数（LOF）A(160225)"
931865,中证半导,成长,"嘉实中证半导体指数增强发起式A(014854), 嘉实中证半导体指数增强发起式C(014855)"
931582,数字经济,成长,"鹏扬中证数字经济主题ETF发起式联接A(015787), 鹏扬中证数字经济主题ETF(560800), 华安中证数字经济主题ETF(159658)"
930697,家用电器,成长,"广发中证全指家用电器ETF联接A(005063), 广发中证全指家用电器ETF联接C(005064), 国泰中证全指家用电器ETF联接A(008713), 国泰中证全指家用电器ETF联接C(008714), 富国中证全指家用电器ETF发起式联接A(017226), 广发中证全指家用电器ETF(560880), 家电ETF(家电ETF)(561120), 国泰中证全指家用电器ETF(159996)"
990001,中华半导体芯片,成长,"国泰CES半导体芯片行业ETF联接A(008281), 国泰CES半导体芯片行业ETF联接C(008282), 华安CES半导体芯片行业指数发起A(012837), 华安CES半导体芯片行业指数发起C(012838), 西部利得CES芯片指数增强A(014418), 西部利得CES芯片指数增强C(014419), 国泰CES半导体芯片行业ETF(512760)"
000685,科创芯片,成长,"嘉实上证科创板芯片ETF发起联接A(017469), 嘉实上证科创板芯片ETF发起联接C(017470), 华安上证科创板芯片ETF发起式联接A(017559), 华安上证科创板芯片ETF发起式联接C(017560), 嘉实上证科创板芯片ETF(588200), 华安上证科创板芯片ETF(588290)"
931402,证券先锋,周期,华富中证券公司先锋策略 ETF(516980)
HSCAIT,恒生A股行业龙头指数,价值,"汇丰晋信恒生龙头指数C(001149), 汇丰晋信恒生龙头指数A(540012)"
